Country,C02 emissions in 1999,CO2 emissions in2018,AbsoluteChange(1999-2018)
Laos,"8,46,052",32260000,0.31413948
Latvia,7700000,7860000,0.0016
Lebanon,16430000,27570000,0.1114
Lesotho,1820000,2430000,0.0061
Liberia,"3,90,674",1270000,0.00879326
Libya,44300000,45210000,0.0091
Liechtenstein,"2,26,560","1,43,750",-0.0008281
Lithuania,13480000,13670000,0.0019
Luxembourg,8150000,9570000,0.0142
Macao,1520000,2220000,0.007
Madagascar,1820000,4190000,0.0237
Malawi,"9,20,814",1470000,0.00549186
Malaysia,108290000,249140000,1.4085
Maldives,"4,21,360",1570000,0.0114864
Mali,"8,02,416",3270000,0.02467584
Malta,2630000,1530000,-0.011
Marshall Islands,"87,936","1,53,065",0.00065129
Mauritania,1100000,3930000,0.0283
Mauritius,2430000,4900000,0.0247
Mexico,390520000,451080000,0.6056
Micronesia,"1,24,576","1,49,239",0.00024663
Moldova,4680000,5880000,0.012
Mongolia,7540000,64510000,0.5697
Montenegro,1210000,2120000,0.0091
Montserrat,"29,312","30,184",0.00000872
Morocco,32390000,65370000,0.3298
Mozambique,1170000,8380000,0.0721
Myanmar,8930000,26100000,0.1717
Namibia,1660000,4150000,0.0249
Nauru,"91,600","49,746",-0.00041854
Nepal,3190000,13410000,0.1022
Netherlands,170730000,160170000,-0.1056
New Caledonia,2060000,8210000,0.0615
New Zealand,31470000,35080000,0.0361
Nicaragua,3600000,5380000,0.0178
Niger,"6,82,406",2090000,0.01407594
Nigeria,39590000,136080000,0.9649
Niue,"7,328","7,653",0.00000325
North America,6890000000,6630000000,-2.6
North America (excl. USA),1060000000,1210000000,1.5
North Korea,64100000,38160000,-0.2594
North Macedonia,11670000,6980000,-0.0469
Norway,42970000,43820000,0.0085
Oceania,382320000,470410000,0.8809
Oman,20560000,71030000,0.5047
Pakistan,99390000,247430000,1.4804
Palestine,1370000,3220000,0.0185
Panama,5620000,12100000,0.0648
Papua New Guinea,2440000,6790000,0.0435
Paraguay,4380000,8100000,0.0372
Peru,29150000,54210000,0.2506
Philippines,68180000,138920000,0.7074
Poland,329170000,337710000,0.0854
Portugal,66760000,51480000,-0.1528
Qatar,31270000,109240000,0.7797
Romania,90780000,76950000,-0.1383
Russia,1490000000,1690000000,2
Rwanda,"5,02,435",1080000,0.00577565
Saint Helena,"10,992","11,319",0.00000327
Saint Kitts and Nevis,"1,61,216","2,49,014",0.00087798
Saint Lucia,"3,33,424","3,62,202",0.00028778
Saint Pierre and Miquelon,"54,960","79,232",0.00024272
Saint Vincent and the Grenadines,"1,64,880","2,64,106",0.00099226
Samoa,"1,35,568","2,67,864",0.00132296
Sao Tome and Principe,"47,632","1,26,126",0.00078494
Saudi Arabia,225980000,576760000,3.5078
Senegal,3600000,9690000,0.0609
Serbia,35790000,46050000,0.1026
Seychelles,"5,09,296","6,05,360",0.00096064
Sierra Leone,"1,46,560","9,87,559",0.00840999
Singapore,49870000,38290000,-0.1158
Sint Maarten (Dutch part),"2,12,531","7,73,452",0.00560921
Slovakia,43200000,36090000,-0.0711
Slovenia,15340000,14490000,-0.0085
Solomon Islands,"2,16,176","2,98,477",0.00082301
Somalia,"4,90,976","6,58,329",0.00167353
South Africa,374830000,472000000,0.9717
South America,827700000,1100000000,2.723
South Korea,398330000,634930000,2.366
South Sudan,"4,22,901",1540000,0.01117099
Spain,299500000,269650000,-0.2985
Sri Lanka,8520000,22970000,0.1445
Sudan,4650000,22370000,0.1772
Suriname,2120000,2550000,0.0043
Sweden,55820000,41770000,-0.1405
Switzerland,44450000,36900000,-0.0755
Syria,51770000,25880000,-0.2589
Taiwan,205310000,273100000,0.6779
Tajikistan,2520000,7470000,0.0495
Tanzania,2460000,11500000,0.0904
Thailand,166140000,292450000,1.2631
Togo,1850000,3170000,0.0132
Tonga,"1,09,920","1,64,545",0.00054625
Trinidad and Tobago,22470000,37870000,0.154
Tunisia,18120000,30360000,0.1224
Turkey,207800000,419190000,2.1139
Turkmenistan,37610000,78030000,0.4042
Turks and Caicos Islands,"65,952","2,37,695",0.00171743
Tuvalu,"7,328","11,480",0.00004152
Uganda,1250000,5380000,0.0413
Ukraine,298200000,231690000,-0.6651
United Arab Emirates,77540000,188540000,1.11
United Kingdom,560950000,380140000,-1.8081
United States,5830000000,5420000000,-4.1
Uruguay,6680000,6250000,-0.0043
Uzbekistan,121740000,113940000,-0.078
Vanuatu,"84,272","1,45,412",0.0006114
Venezuela,172560000,129600000,-0.4296
Vietnam,46660000,211770000,1.6511
Yemen,13720000,9950000,-0.0377
Zambia,1780000,6930000,0.0515
Zimbabwe,15730000,11340000,-0.0439
